ARS sex ageCat f_coeff immGG id year
5 Female 3to5 0.0927223639155272 0.578585624694824 655 2012
5 Female 3to5 0.0927223639155272 0.578585624694824 655 2013
6 Female 1 0.136436674278229 0.58992862701416 656 2010
5 Female 1 0.0835087429732084 0.558910369873047 636 2010
3 Female 2 0.0835087429732084 0.558910369873047 636 2011
0 Female 3to5 0.0835087429732084 0.558910369873047 636 2012
5 Female 1 0 0.790726184844971 680 2010
5 Female 1 0 0.792401790618896 693 2011
6 Female 2 0 0.792401790618896 693 2012
7 Female 3to5 0 0.792401790618896 693 2013
4 Female 1 0.101186321728164 0.537415266036987 721 2011
6 Female 1 0 0.80721527338028 808 2015
6 Female 1 0.201211399282329 0.531766891479492 665 2011
3 Female 2 0.201211399282329 0.531766891479492 665 2012
0 Female 3to5 0.201211399282329 0.531766891479492 665 2013
8 Female 1 0.101309623423731 0.587551116943359 695 2011
7 Female 2 0.101309623423731 0.587551116943359 695 2012
6 Female 3to5 0.101309623423731 0.587551116943359 695 2013
7 Female 3to5 0.101309623423731 0.587551116943359 695 2014
5 Female 1 0.0680520935129607 0.60060453414917 694 2011
9 Female 2 0.0680520935129607 0.60060453414917 694 2012
5 Female 1 0.115768195030796 0.565709471702576 782 2013
9 Female 2 0.115768195030796 0.565709471702576 782 2014
3 Female 1 0.115768195030796 0.565709471702576 795 2014
8 Female 2 0.115768195030796 0.565709471702576 795 2015
6 Female 1 0.0713440426989109 0.680680990219116 767 2014
3 Female 1 0.0713440426989109 0.680680990219116 766 2014
3 Female 1 0.0428132959232244 0.721744894981384 796 2014
5 Female 1 0.0358800253311529 0.707573413848877 797 2014
4 Female 1 0.114455667518087 0.66005539894104 794 2014
8 Female 1 0.133619293143056 0.614430546760559 798 2014
9 Female 2 0.133619293143056 0.614430546760559 798 2015
6 Female 1 0 0.784822225570679 765 2014
9 Female 2 0 0.784822225570679 765 2015
6 Female 1 0.156555849873712 0.733537137508392 804 2014
9 Female 2 0.156555849873712 0.733537137508392 804 2015
6 Female 1 0.0332946353591979 0.730159401893616 801 2015
8 Female 1 0.0917729407956358 0.574419498443604 697 2011
7 Female 2 0.0917729407956358 0.574419498443604 697 2012
3 Female 1 0 0.7631676197052 741 2012
6 Female 2 0 0.7631676197052 741 2013
11 Female 3to5 0 0.7631676197052 741 2014
2 Female 1 0.148752804270771 0.559906959533691 696 2011
4 Female 1 0 0.792401790618896 708 2012
4 Female 2 0 0.792401790618896 708 2013
5 Female 1 0.100333418937225 0.552460432052612 747 2012
6 Female 2 0.100333418937225 0.552460432052612 747 2013
