row column Ainv
269 166 -1.01587301587302
269 269 2.03174603174603
270 166 -1.00324536158227
270 184 -1.00324536158227
270 270 2.00649072316453
271 182 -1.07339284251904
271 209 -1.07339284251904
271 271 2.14678568503808
272 182 -1.07339284251904
272 209 -1.07339284251904
272 272 2.14678568503808
273 184 -1.00324536158227
273 210 -1.00324536158227
273 273 2.00649072316453
274 185 -1.067535429223
274 211 -1.067535429223
274 274 2.135070858446
275 152 -1.02693639625805
275 211 -1.02693639625805
275 275 2.0538727925161
276 185 -1.067535429223
276 211 -1.067535429223
276 276 2.135070858446
277 152 -1.01522779731384
277 172 -1.01522779731384
277 277 2.03045559462767
278 110 -1.00324536158227
278 174 -1.00324536158227
278 278 2.00649072316453
279 110 -1.01386138613861
279 128 -1.01386138613861
279 279 2.02772277227723
280 151 -1.24632251561802
280 212 -1.24632251561802
280 280 2.49264503123603
281 187 -1.23393238752436
281 213 -1.23393238752436
281 281 2.46786477504872
282 187 -1.23393238752436
282 213 -1.23393238752436
282 282 2.46786477504872
283 112 -1.01922239502333
283 129 -1.01922239502333
283 283 2.03844479004666
284 112 -1.06609405755372
284 164 -1.06609405755372
284 284 2.13218811510745
285 112 -1.06609405755372
285 164 -1.06609405755372
285 285 2.13218811510745
286 171 -1.05567010309278
286 188 -1.05567010309278
286 286 2.11134020618557
287 110 -1.00378317940235
287 173 -1.00378317940235
287 287 2.0075663588047
288 154 -1.01977748385591
288 173 -1.01977748385591
288 288 2.03955496771182
289 163 -1.02818503439782
289 189 -1.02818503439782
289 289 2.05637006879564
290 163 -1.02818503439782
290 189 -1.02818503439782
290 290 2.05637006879564
291 96 -1.02082586956183
291 214 -1.02082586956183
291 291 2.04165173912366
292 120 -1.09643311249414
292 165 -1.09643311249414
292 292 2.19286622498829
293 120 -1.09643311249414
293 165 -1.09643311249414
293 293 2.19286622498829
294 120 -1.03961039991117
294 215 -1.03961039991117
294 294 2.07922079982233
295 133 -1.08611203181969
295 191 -1.08611203181969
295 295 2.17222406363938
296 160 -1.0197298811228
296 178 -1.0197298811228
296 296 2.0394597622456
297 160 -1.0197298811228
297 178 -1.0197298811228
297 297 2.0394597622456
298 142 -1
298 192 -1
298 298 2
299 142 -1
299 192 -1
299 299 2
300 177 -1.03789810430293
300 193 -1.03789810430293
300 300 2.07579620860586
301 98 -1
301 119 -1
301 301 2
302 194 -1.04021268997262
302 217 -1.04021268997262
302 302 2.08042537994524
303 98 -1
303 119 -1
303 303 2
304 150 -1.12919121954581
304 218 -1.12919121954581
304 304 2.25838243909163
305 100 -1
305 119 -1
305 305 2
306 100 -1
306 119 -1
306 306 2
307 161 -1.22597451186718
307 219 -1.22597451186718
307 307 2.45194902373436
308 161 -1.22597451186718
308 219 -1.22597451186718
308 308 2.45194902373436
309 161 -1.26249277595839
309 220 -1.26249277595839
309 309 2.52498555191678
310 195 -1.09186631568425
310 220 -1.09186631568425
310 310 2.1837326313685
311 196 -1.08234516928159
311 221 -1.08234516928159
311 311 2.16469033856317
312 148 -1.10096428451433
312 221 -1.10096428451433
312 312 2.20192856902866
313 148 -1.10096428451433
313 221 -1.10096428451433
313 313 2.20192856902866
314 145 -1.01401041304028
314 222 -1.01401041304028
314 314 2.02802082608057
315 113 -1.01069514593052
315 222 -1.01069514593052
315 315 2.02139029186105
316 197 -1.07718163551267
316 223 -1.07718163551267
316 316 2.15436327102535
317 157 -1.08632807319984
317 225 -1.08632807319984
317 317 2.17265614639968
318 149 -1.0081220772828
318 168 -1.0081220772828
318 318 2.01624415456559
319 149 -1.0081220772828
319 168 -1.0081220772828
319 319 2.01624415456559
320 146 -1.01587301587302
320 166 -1.01587301587302
320 320 2.03174603174603
321 166 -1.00324536158227
321 184 -1.00324536158227
321 321 2.00649072316453
322 183 -1.02621277128809
322 208 -1.02621277128809
322 322 2.05242554257618
323 182 -1.07339284251904
323 209 -1.07339284251904
323 323 2.14678568503808
324 184 -1.00324536158227
324 210 -1.00324536158227
324 324 2.00649072316453
325 152 -1.02693639625805
325 211 -1.02693639625805
325 325 2.0538727925161
326 152 -1.02693639625805
326 211 -1.02693639625805
326 326 2.0538727925161
327 110 -1.01135802469136
327 172 -1.01135802469136
327 327 2.02271604938272
328 110 -1.00324536158227
328 174 -1.00324536158227
328 328 2.00649072316453
329 187 -1.23393238752436
329 213 -1.23393238752436
329 329 2.46786477504872
330 187 -1.23393238752436
330 213 -1.23393238752436
330 330 2.46786477504872
331 171 -1.05567010309278
331 188 -1.05567010309278
331 331 2.11134020618557
332 154 -1.01977748385591
