femLRS maleLRS jSurv sex f_coeff immGG DFEs id cohort socdam socsire brood pair
4 NA NA Female 0.040802001953125 0.3759765625 0 309 1993 124 222 NA NA
NA NA 1 Female 0.03564453125 0.52880859375 0.599316773900774 479 1993 284 274 77 65
3 NA NA Female 0.03564453125 0.52880859375 0 479 1993 284 274 NA NA
NA NA 1 Female 0.0864410400390625 0.28662109375 0.681942604640431 473 1993 283 152 78 66
17 NA NA Female 0.0864410400390625 0.28662109375 0 473 1993 283 152 NA NA
NA NA 1 Female 0.106719970703125 0.2724609375 0.681942604640431 306 1993 251 123 79 67
18 NA NA Female 0.106719970703125 0.2724609375 0 306 1993 251 123 NA NA
NA NA 1 Female 0.105484008789062 0.44775390625 -1.38370316385099 1540 2000 1366 692 80 40
7 NA NA Female 0.105484008789062 0.44775390625 0 1540 2000 1366 692 NA NA
NA NA 1 Female 0.0740036964416504 0.41339111328125 -1.21845150237167 1420 2000 753 1202 81 39
5 NA NA Female 0.0740036964416504 0.41339111328125 0 1420 2000 753 1202 NA NA
NA NA 1 Female 0.0824184417724609 0.39501953125 -0.887948179413047 1438 2000 705 468 82 36
0 NA NA Female 0.0824184417724609 0.39501953125 0 1438 2000 705 468 NA NA
NA NA 1 Female 0 0.71923828125 1.42557508129734 1180 2000 752 1120 83 68
18 NA NA Female 0 0.71923828125 0 1180 2000 752 1120 NA NA
NA NA 1 Female 0.0747010707855225 0.37841796875 -1.34239024848116 1452 2001 1024 1197 84 69
7 NA NA Female 0.0747010707855225 0.37841796875 0 1452 2001 1024 1197 NA NA
NA NA 1 Female 0.0819287300109863 0.40667724609375 -1.34239024848116 1450 2001 1024 1197 84 69
6 NA NA Female 0.0819287300109863 0.40667724609375 0 1450 2001 1024 1197 NA NA
NA NA 1 Female 0.0804681777954102 0.42352294921875 -1.17713858700185 1453 2001 1169 1267 85 70
23 NA NA Female 0.0804681777954102 0.42352294921875 0 1453 2001 1169 1267 NA NA
NA NA 1 Female 0.0379910469055176 0.526123046875 -1.30107733311133 1333 2001 1180 1121 86 71
14 NA NA Female 0.0379910469055176 0.526123046875 0 1333 2001 1180 1121 NA NA
NA NA 1 Female 0.105484008789062 0.44775390625 -1.17713858700185 1550 2001 1366 692 87 40
11 NA NA Female 0.105484008789062 0.44775390625 0 1550 2001 1366 692 NA NA
NA NA 1 Female 0.105484008789062 0.44775390625 -1.17713858700185 1551 2001 1366 692 87 40
5 NA NA Female 0.105484008789062 0.44775390625 0 1551 2001 1366 692 NA NA
NA NA 1 Female 0.0542196035385132 0.49041748046875 -0.887948179413047 1456 2001 1316 1168 88 72
3 NA NA Female 0.0542196035385132 0.49041748046875 0 1456 2001 1316 1168 NA NA
NA NA 1 Female 0.0542196035385132 0.49041748046875 -0.887948179413047 1454 2001 1316 1168 88 72
19 NA NA Female 0.0542196035385132 0.49041748046875 0 1454 2001 1316 1168 NA NA
NA NA 1 Female 0.0514075756072998 0.44482421875 -0.846635264043219 1701 2001 1536 695 89 73
8 NA NA Female 0.0514075756072998 0.44482421875 0 1701 2001 1536 695 NA NA
NA NA 1 Female 0 0.660400390625 -0.764009433303562 1449 2001 44 1203 90 74
18 NA NA Female 0 0.660400390625 0 1449 2001 44 1203 NA NA
NA NA 1 Female 0.0419259071350098 0.4898681640625 -0.433506110344935 1332 2001 823 1017 91 75
6 NA NA Female 0.0419259071350098 0.4898681640625 0 1332 2001 823 1017 NA NA
NA NA 1 Female 0.0684471540153027 0.459854125976562 -0.474819025714764 1965 2005 1565 1729 92 76
6 NA NA Female 0.0684471540153027 0.459854125976562 0 1965 2005 1565 1729 NA NA
NA NA 1 Female 0.060905933380127 0.58953857421875 0.0622488740930052 1833 2005 1600 1344 93 77
12 NA NA Female 0.060905933380127 0.58953857421875 0 1833 2005 1600 1344 NA NA
NA NA 1 Female 0.0637537837028503 0.45697021484375 0.268813450942147 1657 2005 1453 1514 94 78
6 NA NA Female 0.0637537837028503 0.45697021484375 0 1657 2005 1453 1514 NA NA
NA NA 1 Female 0.0708290785551071 0.465805053710938 0.227500535572319 1835 2005 1475 1539 95 79
3 NA NA Female 0.0708290785551071 0.465805053710938 0 1835 2005 1475 1539 NA NA
NA NA 1 Female 0.0766917169094086 0.3876953125 1.508200912037 1959 2005 1732 2062 96 80
3 NA NA Female 0.0766917169094086 0.3876953125 0 1959 2005 1732 2062 NA NA
NA NA 1 Female 0.0838794410228729 0.391082763671875 -0.55744485645442 1549 2001 1420 1201 97 81
11 NA NA Female 0.0838794410228729 0.391082763671875 0 1549 2001 1420 1201 NA NA
NA NA 1 Female 0.0419259071350098 0.4898681640625 0.516690943161117 1346 2002 823 1017 98 75
3 NA NA Female 0.0419259071350098 0.4898681640625 0 1346 2002 823 1017 NA NA
NA NA 1 Female 0.0535163879394531 0.49737548828125 0.764568435380087 1475 2002 1333 1329 99 82
15 NA NA Female 0.0535163879394531 0.49737548828125 0 1475 2002 1333 1329 NA NA
NA NA 1 Female 0.0373600721359253 0.547454833984375 1.01244592759906 1566 2002 1450 1235 100 83
2 NA NA Female 0.0373600721359253 0.547454833984375 0 1566 2002 1450 1235 NA NA
NA NA 1 Female 0.0838794410228729 0.391082763671875 1.13638467370854 1552 2001 1420 1201 101 81
9 NA NA Female 0.0838794410228729 0.391082763671875 0 1552 2001 1420 1201 NA NA
NA NA 1 Female 0.0826640725135803 0.451416015625 1.13638467370854 1700 2001 1536 1268 102 84
17 NA NA Female 0.0826640725135803 0.451416015625 0 1700 2001 1536 1268 NA NA
NA NA 1 Female 0.0523055791854858 0.490142822265625 -0.970574010152704 1564 2002 1454 1314 103 85
6 NA NA Female 0.0523055791854858 0.490142822265625 0 1564 2002 1454 1314 NA NA
NA NA 1 Female 0 0.660400390625 1.05375884296889 1455 2001 44 1203 104 74
25 NA NA Female 0 0.660400390625 0 1455 2001 44 1203 NA NA
NA NA 1 Female 0 0.660400390625 1.05375884296889 1451 2001 44 1203 104 74
6 NA NA Female 0 0.660400390625 0 1451 2001 44 1203 NA NA
NA NA 1 Female 0.0779668092727661 0.412322998046875 -0.805322348673391 1563 2002 1450 1235 105 83
4 NA NA Female 0.0779668092727661 0.412322998046875 0 1563 2002 1450 1235 NA NA
NA NA 1 Female 0.0670806169509888 0.474884033203125 -0.640070687194077 1565 2002 1456 1315 106 86
32 NA NA Female 0.0670806169509888 0.474884033203125 0 1565 2002 1456 1315 NA NA
NA NA 1 Female 0.0641529783606529 0.419418334960938 -0.640070687194077 1707 2002 1552 1535 107 87
7 NA NA Female 0.0641529783606529 0.419418334960938 0 1707 2002 1552 1535 NA NA
NA NA 1 Female 0.0542196035385132 0.49041748046875 -0.185628618125965 1477 2002 1316 1168 108 72
5 NA NA Female 0.0542196035385132 0.49041748046875 0 1477 2002 1316 1168 NA NA
NA NA 1 Female 0.0542196035385132 0.49041748046875 -0.185628618125965 1476 2002 1316 1168 108 72
8 NA NA Female 0.0542196035385132 0.49041748046875 0 1476 2002 1316 1168 NA NA
NA NA 1 Female 0.0240890979766846 0.67431640625 -1.13582567163202 1601 2003 1449 1269 109 88
5 NA NA Female 0.0240890979766846 0.67431640625 0 1601 2003 1449 1269 NA NA
NA NA 1 Female 0.0710224807262421 0.5985107421875 -1.09451275626219 1600 2003 1476 1471 110 89
13 NA NA Female 0.0710224807262421 0.5985107421875 0 1600 2003 1476 1471 NA NA
NA NA 1 Female 0.0660239458084106 0.50958251953125 -1.17713858700185 1502 2003 1316 1168 111 72
14 NA NA Female 0.0660239458084106 0.50958251953125 0 1502 2003 1316 1168 NA NA
NA NA 1 Female 0.0514075756072998 0.44482421875 -0.929261094782876 1732 2003 1536 695 112 73
21 NA NA Female 0.0514075756072998 0.44482421875 0 1732 2003 1536 695 NA NA
NA NA 1 Female 0.0616087466478348 0.440475463867188 -0.929261094782876 1731 2003 1552 1168 113 90
14 NA NA Female 0.0616087466478348 0.440475463867188 0 1731 2003 1552 1168 NA NA
NA NA 1 Female 0.0710224807262421 0.5985107421875 0.434065112421461 1602 2003 1476 1471 114 89
20 NA NA Female 0.0710224807262421 0.5985107421875 0 1602 2003 1476 1471 NA NA
NA NA 1 Female 0.0542196035385132 0.49041748046875 0.764568435380087 1503 2003 1316 1168 115 72
22 NA NA Female 0.0542196035385132 0.49041748046875 0 1503 2003 1316 1168 NA NA
NA NA 1 Female 0.0350514501333237 0.599395751953125 -1.59026774070013 1791 2004 1502 1557 116 91
4 NA NA Female 0.0350514501333237 0.599395751953125 0 1791 2004 1502 1557 NA NA
NA NA 1 Female 0.0350514501333237 0.599395751953125 -1.59026774070013 1794 2004 1502 1557 116 91
0 NA NA Female 0.0350514501333237 0.599395751953125 0 1794 2004 1502 1557 NA NA
NA NA 1 Female 0.0450029373168945 0.5511474609375 -1.50764190996047 1641 2004 1455 1562 117 92
6 NA NA Female 0.0450029373168945 0.5511474609375 0 1641 2004 1455 1562 NA NA
NA NA 1 Female 0.0353802144527435 0.582366943359375 -1.46632899459064 1792 2004 1601 1471 118 93
5 NA NA Female 0.0353802144527435 0.582366943359375 0 1792 2004 1601 1471 NA NA
NA NA 1 Female 0.0353802144527435 0.582366943359375 -1.46632899459064 1793 2004 1601 1471 118 93
16 NA NA Female 0.0353802144527435 0.582366943359375 0 1793 2004 1601 1471 NA NA
NA NA 1 Female 0.0536594390869141 0.5159912109375 -1.01188692552253 1938 2004 1700 1345 119 94
29 NA NA Female 0.0536594390869141 0.5159912109375 0 1938 2004 1700 1345 NA NA
NA NA 1 Female 0.0394054055213928 0.571075439453125 -0.0203769566466516 1643 2004 1449 1472 120 95
8 NA NA Female 0.0394054055213928 0.571075439453125 0 1643 2004 1449 1472 NA NA
NA NA 1 Female 0 0.8441162109375 0.681942604640431 1360 2004 45 1017 121 96
27 NA NA Female 0 0.8441162109375 0 1360 2004 45 1017 NA NA
NA NA 1 Female 0.0319887399673462 0.6204833984375 1.05375884296889 1644 2004 1449 1472 122 95
6 NA NA Female 0.0319887399673462 0.6204833984375 0 1644 2004 1449 1472 NA NA
NA NA 1 Female 0.0447060465812683 0.5335693359375 1.2190105044482 1795 2004 1602 1329 123 97
7 NA NA Female 0.0447060465812683 0.5335693359375 0 1795 2004 1602 1329 NA NA
NA NA 1 Female 0.0450029373168945 0.5511474609375 1.508200912037 1642 2004 1455 1562 124 92
40 NA NA Female 0.0450029373168945 0.5511474609375 0 1642 2004 1455 1562 NA NA
NA NA 1 Female 0.0684471540153027 0.459854125976562 -1.71420648680961 1960 2005 1565 1729 125 76
11 NA NA Female 0.0684471540153027 0.459854125976562 0 1960 2005 1565 1729 NA NA
NA NA 1 Female 0.0235463529825211 0.638839721679688 -1.38370316385099 1836 2005 1643 1382 126 98
4 NA NA Female 0.0235463529825211 0.638839721679688 0 1836 2005 1643 1382 NA NA
NA NA 1 Female 0.0858993791043758 0.59088134765625 -1.34239024848116 1957 2005 1793 1787 127 99
1 NA NA Female 0.0858993791043758 0.59088134765625 0 1957 2005 1793 1787 NA NA
NA NA 1 Female 0 0.794906616210938 -1.13582567163202 1956 2005 47 1728 128 100
13 NA NA Female 0 0.794906616210938 0 1956 2005 47 1728 NA NA
NA NA 1 Female 0 0.794906616210938 -1.13582567163202 1961 2005 47 1728 128 100
5 NA NA Female 0 0.794906616210938 0 1961 2005 47 1728 NA NA
