row column Ainv
274 127 -1.01386138613861
274 193 2.6834821062976
274 224 -1.01386138613861
274 274 14.7393145175734
275 216 -1.09507736523744
275 229 -1.09507736523744
275 250 3.70179716257308
275 275 11.4366789359946
276 41 2.02285652553032
276 42 2.5285706569129
276 163 0.505714131382581
276 220 2.57046258599456
276 228 -1.0081220772828
276 236 -1.0081220772828
276 237 0.507649286970263
276 251 0.516368965544411
276 272 1.60962790126489
276 276 16.0152387064984
277 126 7.05972820682797
277 215 -1.00324536158227
277 226 -1.00324536158227
277 241 2.14787624541164
277 251 2.18821683166664
277 277 13.4023120070708
278 102 1.53123880434275
278 127 -1.01386138613861
278 221 1.5568471564544
278 224 -1.01386138613861
278 278 16.6935080065307
279 219 -1.0197298811228
279 241 -1.0197298811228
279 279 9.32501573484931
280 219 -1.0197298811228
280 241 -1.0197298811228
280 280 5.19726320260152
281 124 -1.01386138613861
281 222 -1.01386138613861
281 251 2.08507524418568
281 281 4.63626521988793
282 102 0.505277441539517
282 139 -1
282 233 -1
282 282 3.03935399664143
283 152 3.68451826388666
283 216 -1.01618805433232
283 223 -1.01618805433232
283 228 0.525010414330118
283 283 7.30571454258306
284 114 -1.01977748385591
284 136 2.56553192822023
284 142 1.02621277128809
284 237 -1.01977748385591
284 280 3.15780344035592
284 284 9.85966633514384
285 221 -1.1015564594749
285 230 6.23161257809009
285 234 -1.1015564594749
285 285 8.4347254970399
286 123 1.55941559986675
286 131 0.512520528661922
286 161 4.17327071559341
286 219 -1.0197298811228
286 241 -1.0197298811228
286 281 0.52346720342503
286 286 17.7388314536829
287 131 0.580231611006835
287 219 0.591288029160201
287 232 -1.01637717121588
287 239 -1.01637717121588
287 287 3.2042739825988
288 136 -1.0081220772828
288 240 -1.0081220772828
288 279 6.24127613983572
288 288 8.25752029440131
289 138 3.06493627966795
289 156 -1.01522779731384
289 231 -1.01522779731384
289 289 5.09539187429562
290 113 2.05382451796893
290 130 1.51604271889579
290 145 1.51604271889579
290 222 -1.00324536158227
290 226 0.507005206520141
290 238 -1.00324536158227
290 247 1.01899260664391
290 271 2.06394721717017
290 290 12.7411342437083
291 156 -1.01522779731384
291 160 0.538590817756337
291 231 -1.01522779731384
291 291 2.56904641238401
292 38 -1.00378317940235
292 113 1.52380952380952
292 145 7
292 226 1.5048680423734
292 227 -1.00378317940235
292 247 0.504061038641398
292 271 1.02082586956183
292 292 14.0894807876407
293 38 -1.00378317940235
293 146 2
293 227 -1.00378317940235
293 248 0.504061038641398
293 293 4.5116273974461
294 127 -1.01386138613861
294 224 -1.01386138613861
294 283 1.06380975570165
294 294 3.09153252797888
295 147 -1.00324536158227
295 243 -1.00324536158227
295 295 6.13900536425101
296 142 -1.08023999472539
296 163 1.54385193444786
296 225 -1.08023999472539
296 296 3.70433192389864
297 222 -1.00324536158227
